x,y,z,yaw,velocity,change_flag
11.3703,-6.8305,0.0574,-1.5678,0,0
11.4045,-6.5286,-0.0120,-1.5394,-1.2006,0
11.3904,-6.2027,0.0072,-1.4869,-1.6952,0
11.3677,-5.8907,0.0051,-1.4335,-2.6655,0
11.3323,-5.5537,0.0226,-1.3695,-2.7678,0
11.2864,-5.1964,0.0175,-1.2973,-4.1668,0
11.2077,-4.8990,-0.0002,-1.2417,-3.4918,0
11.0772,-4.5715,0.0180,-1.1738,-2.8980,0
10.9386,-4.2193,0.0125,-1.1026,-3.0708,0
10.8120,-3.9306,0.0270,-1.0405,-1.8675,0
10.6411,-3.6710,0.0300,-0.9831,-2.8035,0
10.4362,-3.3450,-0.0132,-0.9122,-3.7789,0
10.2533,-3.0830,0.0490,-0.8585,-4.3292,0
10.0014,-2.8013,0.0358,-0.7773,-3.0516,0
9.7603,-2.5554,0.0551,-0.7242,-4.6980,0
9.5396,-2.3045,0.0303,-0.6611,-3.3462,0
9.2662,-2.0796,0.0230,-0.5917,-2.1320,0
8.9538,-1.8679,0.0505,-0.5423,-2.8851,0
8.6738,-1.6860,0.0381,-0.5031,-3.6651,0
8.4075,-1.5376,0.0522,-0.4601,-3.9231,0
8.1342,-1.4029,0.0557,-0.4145,-3.4034,0
7.8458,-1.2568,0.0022,-0.3700,-3.3009,0
7.5448,-1.1812,-0.0373,-0.3281,-3.7156,0
7.2127,-1.0368,-0.0657,-0.2812,-3.2074,0
6.8831,-0.9277,-0.0695,-0.2421,-2.8319,0
6.5218,-0.8437,-0.0523,-0.2010,-3.4841,0
6.1173,-0.7471,-0.0453,-0.1588,-4.5131,0
5.7943,-0.7294,-0.0998,-0.1270,-3.6420,0
5.4648,-0.6463,-0.1037,-0.0985,-4.2759,0
5.1032,-0.5852,-0.1121,-0.0653,-3.6789,0
4.7462,-0.5575,-0.1010,-0.0410,-2.9207,0
4.4150,-0.5412,-0.1040,-0.0233,-3.2238,0
4.0822,-0.5165,-0.0746,-0.0093,-3.1966,0
3.7368,-0.4989,-0.0773,-0.0017,-1.9911,0
3.3937,-0.4937,-0.0818,0.0025,-2.3165,0
3.0817,-0.4986,-0.0618,0.0070,-1.6673,0
2.7766,-0.4757,-0.0799,0.0090,-1.2396,0
3.0894,-0.4284,-0.0755,0.0265,2.9176,0
3.4715,-0.4388,-0.0993,0.0424,4.0111,0
3.8676,-0.4244,-0.1097,0.0517,5.2561,0
4.1915,-0.4273,-0.0878,0.0562,5.8666,0
4.5547,-0.4173,-0.0972,0.0591,7.0412,0
4.9420,-0.4139,-0.0986,0.0629,6.7015,0
5.2983,-0.4143,-0.0705,0.0664,6.9452,0
5.6763,-0.4056,-0.0825,0.0676,6.7158,0
6.1264,-0.3697,-0.0397,0.0664,8.6010,0
6.6009,-0.3511,-0.0348,0.0635,8.6313,0
7.0564,-0.3109,-0.0460,0.0591,8.1407,0
7.4929,-0.2973,-0.0535,0.0561,8.0066,0
7.9992,-0.2514,-0.0354,0.0510,9.3589,0
8.4838,-0.2343,-0.0100,0.0444,8.9844,0
8.9629,-0.2630,0.0067,0.0394,8.7509,0
9.4153,-0.2615,0.0297,0.0333,8.1067,0
9.8568,-0.2908,0.0022,0.0282,8.1150,0
10.2992,-0.2790,0.0276,0.0235,8.1771,0
10.7323,-0.2877,0.0470,0.0192,7.7514,0
11.1683,-0.3045,0.0336,0.0163,7.0882,0
11.6165,-0.2885,0.0347,0.0127,8.2009,0
12.0545,-0.2818,0.0618,0.0095,7.8458,0
12.4871,-0.3007,0.0583,0.0080,8.0102,0
12.9170,-0.3162,0.0486,0.0068,7.8690,0
13.3591,-0.3090,0.0456,0.0052,7.4469,0
13.7900,-0.3178,0.0658,0.0041,7.7460,0
14.1772,-0.3386,0.0306,0.0039,6.7357,0
14.5748,-0.3372,0.0800,0.0023,7.6219,0
14.9405,-0.3582,0.0741,0.0010,6.5917,0
15.2894,-0.3532,0.0671,-0.0022,5.9386,0
15.6335,-0.3703,0.0545,-0.0036,5.9594,0
15.9522,-0.3735,0.0652,-0.0060,5.6700,0
16.3563,-0.4164,0.0744,-0.0082,4.6597,0
16.7409,-0.4271,0.0922,-0.0111,4.3580,0
17.0405,-0.4536,0.1068,-0.0125,3.6155,0
17.3960,-0.4662,0.0931,-0.0143,3.2400,0
17.7020,-0.4851,0.1100,-0.0156,0.5654,0
17.3594,-0.4608,0.1147,-0.0053,-2.5439,0
17.0441,-0.4447,0.1034,0.0234,-2.8612,0
16.6868,-0.4349,0.1079,0.0650,-3.3752,0
16.3245,-0.4524,0.0890,0.1247,-2.6774,0
15.9824,-0.4918,0.0641,0.1841,-2.2993,0
15.6299,-0.5424,0.0627,0.2506,-2.5419,0
15.3236,-0.6090,0.0747,0.3118,-1.3851,0
15.0340,-0.6943,0.0779,0.3672,-1.1553,0
14.7266,-0.8208,0.0695,0.4295,-2.6198,0
14.3619,-0.9929,0.0365,0.4959,-3.9280,0
14.0690,-1.1375,0.0402,0.5608,-2.7623,0
13.7943,-1.2912,0.0429,0.6155,-2.9484,0
13.5291,-1.4850,0.0529,0.6763,-1.9679,0
13.2774,-1.6561,0.0615,0.7240,-2.4118,0
13.0488,-1.8759,0.0224,0.7799,-3.3181,0
12.7963,-2.1101,0.0033,0.8429,-3.0566,0
12.5226,-2.3886,0.0053,0.9141,-3.2891,0
12.3046,-2.6785,0.0041,0.9809,-2.4848,0
12.1245,-2.9299,0.0060,1.0312,-2.6271,0
11.9057,-3.2456,0.0272,1.0994,-3.2311,0
11.7418,-3.5695,0.0086,1.1645,-2.4910,0
11.6102,-3.8474,0.0067,1.2015,-2.1186,0
11.4845,-4.1524,-0.0078,1.2397,-2.3176,0
11.3695,-4.4310,-0.0135,1.2869,-1.7740,0
11.2713,-4.7186,0.0198,1.3443,-1.3395,0
11.1941,-5.0397,0.0181,1.4068,-1.5572,0
11.1280,-5.3827,0.0278,1.4643,-2.2049,0
11.0856,-5.6942,0.0254,1.5289,-0.9559,0
11.0672,-6.0249,0.0347,1.5855,-1.8514,0
11.0775,-6.3480,0.0245,1.6477,-1.4803,0
11.0719,-6.6525,0.0528,1.6989,-1.7510,0
11.0866,-6.9774,0.0512,1.7646,-1.3949,0
11.1529,-7.2788,0.0363,1.8088,-0.7766,0
11.2171,-7.5977,0.0292,1.7998,-2.1021,0
11.2850,-7.9021,0.0325,1.7721,-1.1798,0
11.2956,-8.2073,0.0344,1.7297,-0.9914,0
11.3603,-8.5264,0.0226,1.6730,-1.1400,0
11.4038,-8.8408,0.0212,1.6278,-1.2521,0
11.3959,-9.1483,0.0166,1.5743,-1.3443,0
11.4080,-9.4629,0.0121,1.5451,-0.7199,0
11.3815,-9.7719,0.0164,1.5520,-0.5352,0
