x,y,z,yaw,velocity,kappa,dkappa,s
32.64396474,-1.395523866,0,2.943893981,0,-0.006468682,0.05324825,-21.97746899
32.27382957,-1.389098117,0,2.9493754,-0.5,-0.005804144,0.051606809,-21.19418874
31.9036944,-1.382672367,0,2.954856819,-1,-0.005139605,0.049965367,-20.41090848
31.53355923,-1.376246618,0,2.960338238,-1,-0.004475066,0.048323925,-19.62762822
31.16342406,-1.369820869,0,2.965819658,-1,-0.003810527,0.046682483,-18.84434796
30.79328889,-1.36339512,0,2.971301077,-1,-0.003145988,0.045041042,-18.06106771
30.42315372,-1.35696937,0,2.976782496,-1,-0.002481449,0.0433996,-17.27778745
30.05301855,-1.350543621,0,2.982263915,-1,-0.00181691,0.041758158,-16.49450719
29.68288338,-1.344117872,0,2.987745334,-1,-0.001152371,0.040116716,-15.71122694
29.31274821,-1.337692122,0,2.993226753,-1,-0.000487832,0.038475275,-14.92794668
28.94261304,-1.331266373,0,2.998708172,-1,0.000176707,0.036833833,-14.14466642
28.57247788,-1.324840624,0,3.004189591,-1,0.000841246,0.035192391,-13.36138617
28.20234271,-1.318414874,0,3.009671011,-1,0.001505785,0.033550949,-12.57810591
27.84957095,-1.307139238,0,3.015157273,-1,0.002189862,0.031884182,-13
27.47733274,-1.30128081,0,3.020638,-1,0.00285161,0.030246358,-12
27.10509452,-1.295422381,0,3.026118727,-1,0.003513358,0.028608534,-11
26.73285631,-1.289563952,0,3.031599455,-1,0.004175106,0.02697071,-10
26.3606181,-1.283705524,0,3.037080182,-1,0.004836854,0.025332887,-9
25.98837988,-1.277847095,0,3.042560909,-1,0.005498602,0.023695063,-8
25.61614167,-1.271988667,0,3.048041636,-1,0.006160349,0.022057239,-7
25.24390345,-1.266130238,0,3.053522364,-1,0.006822097,0.020419415,-6
24.87166524,-1.26027181,0,3.059003091,-1,0.007483845,0.018781591,-5
24.49942702,-1.254413381,0,3.064483818,-1,0.008145593,0.017143767,-4
24.12718881,-1.248554952,0,3.069964545,-1,0.008807341,0.015505944,-3
23.7549506,-1.242696524,0,3.075445273,-1,0.009469089,0.01386812,-2
23.38271238,-1.236838095,0,3.080926,-1,0.010130837,0.012230296,-1
22.9154,-1.2595,0,3.08765,-1,0.0049123,0.00842003,0
22.5978,-1.24312,0,3.09162,-1,0.00759003,0.0118659,0.31802
22.2453,-1.22599,0,3.09515,-1,0.0128738,0.0176836,0.670955
21.8835,-1.20992,0,3.10083,-1,0.0202355,0.0147331,1.03312
21.5499,-1.19763,0,3.10924,-1,0.0231271,-0.00498219,1.36689
21.1987,-1.18776,0,3.11667,-1,0.016822,-0.0184551,1.71825
20.838,-1.17988,0,3.12122,-1,0.00998487,-0.00918169,2.07901
20.468,-1.17287,0,3.12397,-1,0.0101119,0.00749918,2.44907
20.1009,-1.16689,0,3.12867,-1,0.0155136,0.00850918,2.81626
19.7135,-1.16312,0,3.13568,-1,0.0165334,-0.00386936,3.20372
19.303,-1.16217,0,-3.14132,-1,0.0124263,-0.0057949,3.61416
18.8931,-1.16334,0,-3.13731,-1,0.0117792,0.009884,4.02412
18.5124,-1.16556,0,-3.13201,-1,0.0202414,0.0284216,4.40483
18.126,-1.17069,0,-3.12178,-1,0.0335817,0.0406778,4.79122
17.7266,-1.18112,0,-3.10562,-1,0.0522107,0.0591991,5.19075
17.3464,-1.19875,0,-3.08105,-1,0.0797656,0.0727458,5.57137
16.9881,-1.22589,0,-3.04659,-1,0.10604,0.0635943,5.93071
16.6305,-1.26697,0,-3.00477,-1,0.125509,0.0518804,6.29067
16.2799,-1.32339,0,-2.95684,-1,0.143135,0.0437735,6.64573
15.9359,-1.39677,0,-2.90359,-1,0.156449,0.0345149,6.9975
15.599,-1.48858,0,-2.84717,-1,0.167328,0.0223632,7.34668
15.2782,-1.59621,0,-2.78853,-1,0.171825,0.00666987,7.68503
14.9618,-1.72341,0,-2.73041,-1,0.17186,0.00181657,8.0261
14.6574,-1.8669,0,-2.67207,-1,0.173056,-0.00565057,8.36257
14.3627,-2.02733,0,-2.6141,-1,0.168063,-0.000611603,8.69809
14.0736,-2.20703,0,-2.55845,-1,0.172642,0.00817228,9.03857
13.8103,-2.39176,0,-2.49978,-1,0.173474,0.00266452,9.36016
13.5395,-2.60613,0,-2.44273,-1,0.174419,-0.00717666,9.70551
13.2905,-2.82853,0,-2.3813,-1,0.168599,-0.00413891,10.0394
13.0368,-3.08428,0,-2.32569,-1,0.171546,0.0193417,10.3997
12.8302,-3.31785,0,-2.26598,-1,0.181599,-0.0120506,10.7115
12.6302,-3.57169,0,-2.21037,-1,0.163895,-0.0296641,11.0346
12.4357,-3.84822,0,-2.15759,-1,0.161983,-0.0102733,11.3727
12.2636,-4.12308,0,-2.10306,-1,0.15709,-0.01738,11.697
12.0955,-4.4258,0,-2.05224,-1,0.150329,0.0112548,12.0433
11.9489,-4.72546,0,-2.00084,-1,0.164742,0.0416621,12.3769
11.8279,-5.00919,0,-1.94645,-1,0.177078,0.00115835,12.6853
11.7197,-5.30646,0,-1.89019,-1,0.165465,-0.0390773,13.0017
11.6174,-5.6458,0,-1.83545,-1,0.150865,-0.0270556,13.3561
11.5313,-6.00194,0,-1.78143,-1,0.145962,-0.00521516,13.7225
11.4672,-6.34846,0,-1.73052,-1,0.147117,-0.0282854,14.0749
11.4251,-6.66107,0,-1.68317,-1,0.127072,-0.0783897,14.3903
11.3938,-6.99825,0,-1.6474,-1,0.0958458,-0.0723925,14.729
11.3738,-7.32969,0,-1.61889,-1,0.0785208,-0.0590642,15.061
11.3629,-7.63974,0,-1.59697,-1,0.0579092,-0.0789144,15.3712
11.3576,-7.94703,0,-1.58312,-1,0.0297857,-0.0679591,15.6786
11.3552,-8.2684,0,-1.57824,-1,0.0151825,-0.0454388,16
11.3528,-8.58977,0,-1.57336,-1,1.0785208,0.9409358,16.061
11.3504,-8.91114,0,-1.56848,-1,1.0579092,0.9210856,16.3712
11.348,-9.23251,0,-1.5636,-1,1.0297857,0.9320409,16.6786
11.3456,-9.55388,0,-1.55872,-1,1.0151825,0.9545612,17
11.3432,-9.87525,0,-1.55384,-0.5,2.0785208,1.9409358,17.061
11.3408,-10.19662,0,-1.54896,0,2.0579092,1.9210856,17.3712
